index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3081840.09595851,42342620.6283006,-5869.70853212769,12.6081191917035,37105774.4057021,1,6.14944141770808e-05,1.58570299384113,474,256,2022,12,1,17,0,3.7
11158,3960620.19761133,32427003.4615513,-6987.35209031944,13.2112324945212,27187985.3238491,1,4.28187041637927e-05,1.55881732400403,80,255,2022,12,1,17,0,3.7
14318,4236052.32645232,42000430.6989866,-7984.68691995245,12.6935042091835,36764376.3624846,1,4.53753026458198e-06,1.55444527893317,16,256,2022,12,1,17,0,3.7
15139,3166145.67371884,41653805.3334058,-6209.38100207969,13.2087277533286,36415854.19811,1,5.33318641553905e-05,1.58367012370945,444,256,2022,12,1,17,0,3.7
22839,3089722.22795221,42012394.9035385,-5145.56751455773,13.0085830269138,36775468.0495354,1,8.17376103846082e-05,1.5856225360301,473,256,2022,12,1,17,0,3.7
28786,3895427.60736862,41978174.5825414,-7101.60011666843,11.5952873645916,36738129.237021,1,2.85781093276689e-05,1.56370596153744,152,256,2022,12,1,17,0,3.7
30580,3142422.80464736,45891767.8154289,-6896.0784119723,14.7033579530908,40653782.5537245,1,3.08809635837281e-05,1.58291161468321,433,256,2022,12,1,17,0,3.7
32483,3481771.19114126,19832983.1500849,-5069.44184719904,17.5746703963243,14592818.5432778,1,0.000211204199992576,1.58129290491968,409,254,2022,12,1,17,0,3.7
38187,3711417.62398305,39552046.2112636,438778.517453246,17.9797077708309,34314073.2919838,1,0.0130250541050195,1.56856747045193,223,65,2022,12,1,17,0,3.7
40141,3564637.97251238,42011465.7757006,-14797.6180922826,11.7060737030167,36770564.7580111,1,-0.000180745435427842,1.57270832098985,284,259,2022,12,1,17,0,3.7
43463,4161351.24633097,41953413.5328927,-2636.47479044695,11.7939457112939,36716218.924343,1,0.000150206959818245,1.5564586234901,45,254,2022,12,1,17,0,3.7
