index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3080038.22850585,42342752.4231268,-5525.65704145002,12.6081189728716,37105770.6664142,1,7.07530980721527e-05,1.58574538049217,475,256,2022,12,1,17,0,4.3
11158,3958517.387443,32427881.3960662,-6552.90438851146,13.2112881220256,27188681.8179075,1,5.87781670834587e-05,1.55888654316863,81,255,2022,12,1,17,0,4.3
14318,4234265.58775258,42000611.7043597,-7570.59097044952,12.6935040048883,36764372.9037317,1,1.57874119424704e-05,1.55448764550192,16,256,2022,12,1,17,0,4.3
15139,3164322.81271236,41653942.3273121,-5894.34077941346,13.2087276656267,36415852.7274215,1,6.1969288737671e-05,1.58371388770648,445,256,2022,12,1,17,0,4.3
22839,3087940.86149118,42012523.795686,-4678.74859445603,13.0085826103694,36775460.9951895,1,9.44177608384136e-05,1.58566474714858,474,256,2022,12,1,17,0,4.3
28786,3893590.37016891,41978344.6581909,-7098.32412724526,11.595287345442,36738128.9130408,1,2.86536406264374e-05,1.56374972984305,152,256,2022,12,1,17,0,4.3
30580,3141575.09889569,45893304.4868962,-6687.70719564104,14.7034319328888,40655167.5934355,1,3.5992917052306e-05,1.58292641380761,433,256,2022,12,1,17,0,4.3
32483,3478745.64269368,19832941.3140395,-4550.24035697903,17.5746449272561,14592647.4218372,1,0.000246752000903929,1.58148465857603,412,253,2022,12,1,17,0,4.3
38187,3709892.58081704,39551898.5053702,438763.154398705,17.9796881673358,34313763.5090082,1,0.0130247093351379,1.56860521497699,224,65,2022,12,1,17,0,4.3
40141,3562799.6480461,42011621.5867519,-14794.1271926155,11.7060736964158,36770564.6462367,1,-0.000180664126928773,1.57275207931423,284,259,2022,12,1,17,0,4.3
43463,4159515.16363082,41953595.2404169,-2633.04407160953,11.7939456917904,36716218.5945716,1,0.000150286751485924,1.55650238979526,46,254,2022,12,1,17,0,4.3
