index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3075233.22040348,42343103.4877968,-4608.18635074523,12.6081183894526,37105760.6972529,1,9.54429302047661e-05,1.58585841158457,476,256,2022,12,1,17,0,5.9
11158,3952909.81403714,32430221.9022926,-5394.37705685675,13.2114364604013,27190539.2021378,1,0.000101332739346085,1.55907111168504,84,255,2022,12,1,17,0,5.9
14318,4229500.91174048,42001093.9936551,-6466.33503667245,12.6935034602589,36764363.6830613,1,4.57871065638058e-05,1.55460062305448,18,255,2022,12,1,17,0,5.9
15139,3159461.8195863,41654307.2435377,-5054.23346393276,13.2087274319006,36415848.8080293,1,8.50024238046452e-05,1.58383059174301,447,256,2022,12,1,17,0,5.9
22839,3083190.52195938,42012867.1138185,-3433.89809937167,13.0085814998207,36775442.1876102,1,0.000128231518285646,1.58577731021344,475,255,2022,12,1,17,0,5.9
28786,3888691.03452544,41978797.8002309,-7089.588089009,11.5952872943816,36738128.0491822,1,2.88550571632302e-05,1.56386644532881,154,256,2022,12,1,17,0,5.9
30580,3139314.52758698,45897401.9467394,-6132.05057112768,14.7036291875803,40658860.7995811,1,4.96230898705423e-05,1.58296587301455,434,256,2022,12,1,17,0,5.9
32483,3470677.21471658,19832828.0469104,-3165.7026865705,17.5745771662021,14592192.1592429,1,0.000341550209162079,1.58199604300304,420,252,2022,12,1,17,0,5.9
38187,3705825.7575413,39551504.1804646,438722.18134427,17.9796358807038,34312937.2665362,1,0.0130237898317197,1.56870587056767,225,65,2022,12,1,17,0,5.9
40141,3557897.41613123,42012036.6896608,-14784.8179883823,11.7060736788159,36770564.3482127,1,-0.000180447302569665,1.57286876818066,286,259,2022,12,1,17,0,5.9
43463,4154618.90416508,41954079.4010425,-2623.89546341023,11.7939456397856,36716217.7152597,1,0.000150499527867877,1.55661909994652,48,254,2022,12,1,17,0,5.9
