index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3074031.96196772,42343191.1657367,-4378.81866799121,12.6081182436281,37105758.2054791,1,0.000101615390122682,1.58588666936289,477,255,2022,12,1,17,0,6.3
11158,3951507.90260476,32430806.8805646,-5104.74519798872,13.2114735446228,27191003.5633566,1,0.000111970474301513,1.5591172501957,84,254,2022,12,1,17,0,6.3
14318,4228309.73377031,42001214.4769559,-6190.2710389392,12.6935033241373,36764361.3785007,1,5.32870324923846e-05,1.55462886745079,18,255,2022,12,1,17,0,6.3
15139,3158246.56439189,41654398.3814896,-4844.20662355024,13.2087273735022,36415847.8287366,1,9.07607081917034e-05,1.58385976776224,447,256,2022,12,1,17,0,6.3
22839,3082002.93049807,42012952.8537464,-3122.68546761818,13.0085812222372,36775437.4866267,1,0.000136684962815513,1.58580545099838,476,255,2022,12,1,17,0,6.3
28786,3887466.19233743,41978910.9964164,-7087.40406435974,11.5952872816177,36738127.8332376,1,2.89054112381143e-05,1.56389562420119,154,256,2022,12,1,17,0,6.3
30580,3138749.37961759,45898426.2365396,-5993.13640466375,14.7036784956247,40659784.0481495,1,5.30302460815702e-05,1.58297573665177,434,256,2022,12,1,17,0,6.3
32483,3468660.03989402,19832799.342732,-2819.56820106197,17.5745602615055,14592078.5848255,1,0.000365250683362972,1.58212389850003,422,252,2022,12,1,17,0,6.3
38187,3704809.04229592,39551405.4986622,438711.936965003,17.9796228066264,34312730.6707964,1,0.0130235599292571,1.56873103526636,226,65,2022,12,1,17,0,6.3
40141,3556671.85058132,42012140.3760177,-14782.4906558678,11.7060736744165,36770564.273716,1,-0.000180393096094936,1.57289794039759,286,259,2022,12,1,17,0,6.3
43463,4153394.83045612,41954200.3519319,-2621.60830577262,11.7939456267855,36716217.4954496,1,0.000150552721645265,1.55664827748528,48,254,2022,12,1,17,0,6.3
