index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3086044.43086716,42342312.7982463,-6672.49529979111,12.6081197024171,37105783.1325151,1,3.98908252452303e-05,1.58560409167359,473,256,2022,12,1,17,0,2.3
11158,3965526.69125932,32424954.4286345,-8001.06327973416,13.2111026957124,27186360.2241716,1,5.57677927245832e-06,1.5586557999528,77,256,2022,12,1,17,0,2.3
14318,4240221.3519876,42000008.04154,-8950.91074151425,12.6935046859976,36764384.4350324,1,-2.17121854185384e-05,1.55434642363458,14,256,2022,12,1,17,0,2.3
15139,3170398.99182407,41653485.3620958,-6944.47480636985,13.2087279580823,36415857.6316599,1,3.31778758583053e-05,1.58356800775167,443,256,2022,12,1,17,0,2.3
22839,3093878.72662453,42012093.8415794,-6234.81162152168,13.0085839990387,36775484.512865,1,5.21506110572617e-05,1.58552404348569,472,256,2022,12,1,17,0,2.3
28786,3899714.4651506,41977777.4267282,-7109.24403908903,11.5952874092781,36738129.9930453,1,2.840186942487e-05,1.56360383549431,150,256,2022,12,1,17,0,2.3
30580,3144400.76671424,45888181.9855532,-7382.27787646494,14.7031853138543,40650550.6089648,1,1.89517170607869e-05,1.58287707931539,433,257,2022,12,1,17,0,2.3
32483,3488830.56614315,19833079.4120205,-6280.91163122933,17.5747299485713,14593218.6706268,1,0.000128262587306763,1.58084551263724,403,255,2022,12,1,17,0,2.3
38187,3714976.02500022,39552390.506354,438814.360675527,17.9797535038523,34314795.9959987,1,0.0130258584749648,1.56847940269582,222,65,2022,12,1,17,0,2.3
40141,3568927.36972074,42011101.9037887,-14805.7634146532,11.7060737184206,36770565.0188504,1,-0.000180935153909611,1.57260621823408,282,259,2022,12,1,17,0,2.3
43463,4165635.40830201,41952989.2362398,-2644.47978142224,11.7939457568058,36716219.6938718,1,0.000150020778149001,1.55635650211471,44,254,2022,12,1,17,0,2.3
