index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3065623.08123548,42343803.9231589,-2773.24479723008,12.6081172231947,37105740.7688499,1,0.000144822630096642,1.58608447386996,480,255,2022,12,1,17,0,9.1
11158,3941694.3203896,32434900.0678123,-3077.32195460116,13.2117331299895,27194254.2615426,1,0.000186424447395425,1.55944017925031,89,253,2022,12,1,17,0,9.1
14318,4219971.38766016,42002056.8629914,-4257.8229209821,12.693502371688,36764345.2533767,1,0.00010578653877126,1.55482657831688,21,254,2022,12,1,17,0,9.1
15139,3149739.7007254,41655035.3267733,-3374.01863249758,13.2087269650843,36415840.9799092,1,0.000131068705294384,1.58406400001029,450,255,2022,12,1,17,0,9.1
22839,3073689.71670448,42013552.0296548,-944.196985647698,13.0085792797549,36775404.5899512,1,0.000195859131639463,1.58600243670293,479,254,2022,12,1,17,0,9.1
28786,3878892.20443367,41979702.3692708,-7072.11572301202,11.5952871922837,36738126.3218515,1,2.92578890931796e-05,1.56409987631842,157,256,2022,12,1,17,0,9.1
30580,3134793.28629565,45905595.4234842,-5020.73713395211,14.7040235889169,40666246.1950003,1,7.68760067602745e-05,1.58304476907412,435,256,2022,12,1,17,0,9.1
32483,3454539.05805528,19832594.0737,-396.626344846532,17.5744423271342,14591286.2664875,1,0.000531164259704168,1.58301899202612,435,249,2022,12,1,17,0,9.1
38187,3697691.93011163,39550713.5995386,438640.213815194,17.9795312609858,34311284.1072585,1,0.0130219503139656,1.56890719713191,228,65,2022,12,1,17,0,9.1
40141,3548092.80705149,42012865.1795572,-14766.1989761798,11.7060736436266,36770563.7523434,1,-0.000180013646465577,1.57310214591968,289,259,2022,12,1,17,0,9.1
43463,4144826.21557351,41955046.0083559,-2605.59813994342,11.7939455357964,36716215.9569782,1,0.000150925074519161,1.5568525202672,51,254,2022,12,1,17,0,9.1
