index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3089047.50794237,42342092.6549574,-7245.91437831964,12.6081200673031,37105789.3675025,1,2.44596962365388e-05,1.58553344728379,472,257,2022,12,1,17,0,1.3
11158,3969031.27517339,32423490.388773,-8725.1425923898,13.2110099811666,27185199.4842488,1,-2.10273195893922e-05,1.55854041477182,76,256,2022,12,1,17,0,1.3
14318,4243199.20041042,41999705.8763003,-9641.0705577301,12.6935050266866,36764390.2029585,1,-4.0461975165334e-05,1.55427581273138,13,257,2022,12,1,17,0,1.3
15139,3173437.0553851,41653256.5378513,-7469.54176432699,13.2087281044343,36415860.0858615,1,1.87821720776553e-05,1.58349506781206,442,257,2022,12,1,17,0,1.3
22839,3096847.6344542,42011878.5285118,-7012.84308726257,13.0085846935748,36775496.2751195,1,3.10170560082228e-05,1.5854536917242,470,257,2022,12,1,17,0,1.3
28786,3902776.48153203,41977493.4760368,-7114.70393829763,11.5952874412007,36738130.533123,1,2.82759836045402e-05,1.56353088832348,149,256,2022,12,1,17,0,1.3
30580,3145813.58130654,45885620.4529453,-7729.56317200073,14.703061983218,40648241.9180307,1,1.0429664919755e-05,1.58285240769973,432,257,2022,12,1,17,0,1.3
32483,3493872.77255568,19833147.0088442,-7146.24683220277,17.5747725925111,14593505.1991602,1,6.90213810613638e-05,1.58052597495536,398,256,2022,12,1,17,0,1.3
38187,3717517.71167683,39552636.1297184,438839.959629955,17.9797861630388,34315312.1077842,1,0.0130264329451225,1.56841649955723,221,65,2022,12,1,17,0,1.3
40141,3571991.20209608,42010841.7271741,-14811.5814075786,11.7060737294251,36770565.2051921,1,-0.00018107066595337,1.5725332876952,281,259,2022,12,1,17,0,1.3
43463,4168695.49740807,41952685.899407,-2650.19761524344,11.7939457893174,36716220.2435887,1,0.000149887790290705,1.55628355827798,43,254,2022,12,1,17,0,1.3
