ra_rad,dec_rad,mag
1.41865220877989,0.110823773827009,1.629
1.5497279618951,0.12927717194787,0.769
2.00411344283712,0.0912372205147572,0.461
2.65453375523537,0.208866957247131,1.399
3.09387814035281,0.254335258091265,2.143
4.60301536083966,0.219223404354452,2.106
5.19574934017658,0.154765062721161,0.955
1.20392815205961,0.288149699337459,1.16
1.73534468428513,0.286223784009353,2.024
2.70512665779529,0.346305792304816,2.366
2.70514614561811,0.346293252288673,3.644
3.73357543745707,0.334881087979944,0.161
3.73357503428601,0.334879909882699,3.487
0.0365914094863008,0.507730731604022,2.05
1.42371582572455,0.499301583870902,1.67
2.03035343298608,0.489151392095133,1.325
4.07833918860718,0.466263146029808,2.217
1.98356702615505,0.556561700023976,1.934
1.98358430648544,0.556565465397304,2.972
0.821041402347251,0.714810960738367,2.105
1.56874334154887,0.784480729679874,1.904
4.87355457405449,0.676890923547775,0.087
0.891524983586911,0.870242856170849,1.866
1.38181321282002,0.802834513482744,0.238
3.61083504855295,0.860679500289202,1.842
5.41676848342968,0.790290918716991,1.343
2.88782110839806,0.984057556405638,2.349
3.37733085655666,0.976683509423634,1.764
3.50777871857228,0.958629339137604,2.227
3.5078359418098,0.958567583803615,3.878
0.247436865341241,1.05970719267615,2.168
2.89607114276389,1.07776034124643,2.023
2.89606425726545,1.07776031890622,4.945
1.44865216417988,-0.00521994311870233,2.411
1.44865299443301,-0.00522093376758576,3.763
1.46700832826278,-0.0209774133490158,1.692
1.48684052200649,-0.0339043892326563,1.884
1.48684372608193,-0.0339156689465461,3.699
1.6965381448001,-0.12274988628777,4.616
1.3724302941379,-0.143145607926101,0.283
1.51737383012913,-0.168766389813968,2.037
3.5133190264745,-0.194800472300958,1.031
1.66984284554772,-0.31338986453444,1.933
1.76781853586393,-0.29169937475384,-1.088
1.82659954013024,-0.505658349641352,1.5
1.93773035262833,-0.511435921441809,2.451
4.31710590451993,-0.461324486805609,1.287
4.95352924721438,-0.458962152247108,2.044
6.01111942549557,-0.516998586313613,1.248
4.59723553756446,-0.647582573538913,1.607
4.8178611411853,-0.600119500811557,1.81
2.11003544479914,-0.6981873499228,2.189
3.82012224094139,-0.735791466287218,2.306
4.63597844967535,-0.681200626847014,2.357
4.6134234138423,-0.750453557232472,1.904
2.13598886881461,-0.826179732124801,1.793
3.64573354556255,-0.825335945193008,2.497
3.84814366579405,-0.827079091561707,2.26
5.79550223772034,-0.819617366742999,1.757
0.426351334209919,-0.998968171066268,0.522
1.67530450664491,-0.919713780627908,-0.608
2.28944999535347,-0.95484464012761,1.991
2.19263275685629,-1.03863737950214,2.166
2.19263606879308,-1.03863886669719,4.121
2.45268423441055,-0.960117756970903,2.449
3.27757774858655,-0.99680237716217,1.832
3.34981907919023,-1.04176490776901,1.281
3.57743574416679,-0.933164068005952,2.247
5.34789605925576,-0.990210469115718,1.898
3.25765278762605,-1.10128627965682,1.245
3.25769319444169,-1.10129410606225,1.547
3.68187710810065,-1.05370725231542,0.584
3.68187023185246,-1.05370975895729,3.95
3.83822561101184,-1.06184909092839,1.243
3.83833525276998,-1.06177361730648,0.137
2.41380786622201,-1.21679944042094,1.675
0.495480780456403,0.0556329031054057,4.709
0.393507380850836,0.107229927443385,4.995
0.442578711302986,0.0957768330693017,4.587
0.532529591695899,0.048236404906036,4.1
0.695873647218577,0.00573367816603298,4.029
0.712539408259178,0.056481753760957,3.551
0.680130960799692,0.0976205077849215,4.968
0.795344519391608,0.0713793978327181,2.716
0.869879130078333,0.0588210508459962,4.919
0.946287204934883,0.00701032036588818,4.353
1.06096965617023,0.10453307313207,3.888
1.30266292760635,0.0299152006407146,4.62
1.28391477845595,0.0425977517147266,3.657
1.27062616441718,0.0978275048814056,3.638
1.26466632840653,0.121497207807611,3.222
1.4169766413853,0.0322265717595901,4.837
1.36699139911547,0.0499383292157966,4.62
1.40862625180921,0.0618622746757586,4.951
1.42609579282089,0.0540292151761924,4.574
1.53781246836657,0.0323782934059989,4.909
1.47997709378644,0.0719331131372241,4.503
1.44331883574632,0.103814734881857,4.439
1.67450439902111,0.0801606676622894,4.423
1.77962848130408,0.0421001346085052,4.593
1.7143662350832,0.127984398193338,4.486
2.10428065652674,0.0407459617416838,4.524
2.28299792797361,0.0593178200712669,4.248
2.26350568893801,0.0583190609918668,4.577
2.25870095685584,0.0995498214436136,4.132
2.29849156899821,0.112028796266475,3.488
2.30572319309899,0.10188901991755,4.332
2.3360969505518,0.103768719101596,3.21
2.41887120356492,0.0403916810220129,3.853
2.52398515979664,0.0811454780703076,4.818
2.88224019139653,0.0631372523551062,4.968
2.88305142339992,0.106490376286911,4.998
2.90168467752567,0.128037505071817,4.66
2.97201889558234,0.105231526497049,4.031
3.10099325587205,0.0308001274264375,3.649
3.07989252785553,0.113959201279549,4.209
3.14540261170285,0.11544184067676,4.658
3.38420857047118,0.059297062870473,3.577
3.48020708793168,0.0954673013699214,4.976
3.55232184533814,0.0638609997297366,4.916
3.67237582799544,0.0269571906190287,4.25
3.71870065458051,0.042052491308716,4.964
3.86698959614313,0.0330370190629451,3.716
3.93964726648776,0.0365001429035884,4.513
4.14871792547521,0.0781511683417729,3.714
4.12014053419238,0.112146518899055,2.739
4.12963906575308,0.128335323517521,4.482
4.28509956329228,0.0179601411961773,4.858
4.32367759379967,0.034626561098571,4.147
4.56628168607537,0.0722628594145339,4.496
4.65956082295804,0.0472508925265926,3.737
4.64027435178353,0.079714427638726,2.879
4.72003927284471,0.0227777363549442,4.432
4.71520448008416,0.0511654574719703,3.959
4.73619604089756,0.0436296519786282,4.217
4.80344145587826,0.058942709894171,4.957
4.71353789293217,0.076246781126392,4.742
4.9080067704776,0.0359544704253414,4.996
4.95769405554805,0.073366612963878,4.592
4.9577995196861,0.0733404537945162,4.93
5.08989559455094,0.0059090697932244,4.729
5.08544574550156,0.0543632638646412,3.39
5.20314421190362,0.0175520610513795,4.058
5.12293063545772,0.128786830072103,4.576
5.21553775163786,0.111819112061075,3.807
5.56683150086426,0.0915925276625612,3.993
5.86987844110243,0.0240401178185472,4.76
5.88114305021474,0.0819547570502613,4.906
5.8040800162963,0.108171870994178,3.519
6.13890152938209,0.0219144640437837,4.923
6.03830210253104,0.0666724375244388,4.461
6.09628509042706,0.0572867071168926,3.798
6.14342048404507,0.111334374612069,4.394
6.20484959575122,0.0310675666711815,4.514
6.19570367602636,0.0981973036725218,4.176
6.28018112709053,0.119787514339218,4.06
0.21241704717921,0.132384648999637,4.594
0.274642741467668,0.137708835398573,4.364
0.459867427477514,0.159832880673332,4.368
0.580321738050672,0.154404566011359,4.453
0.646465626696688,0.147656087619304,4.261
0.784154412625479,0.155463433532066,4.681
0.719696848710902,0.176525096891136,4.305
0.903943995005327,0.169868857579252,3.715
0.893666661229537,0.157583597373668,3.705
0.920106881833467,0.225787612105813,4.246
1.05016573718595,0.217997677074069,3.388
1.11497869219867,0.155200912799687,4.267
1.2027692450587,0.177339285656808,4.272
1.16328906607827,0.256803998043877,4.794
1.19489005179462,0.259084084310443,4.67
1.26803413300994,0.15533739737266,4.343
1.28672419184325,0.177165446499986,4.659
1.21369194364695,0.218355302891785,4.277
1.27641483755887,0.248720646286803,4.941
1.2931635349002,0.2358719403916,4.2
1.47003185288314,0.162152792735435,4.187
1.46231516373504,0.173383702157883,3.509
1.46093057012843,0.16562435576661,4.367
1.58119541159771,0.168377064104647,4.152
1.52519460233623,0.220807216997743,4.865
1.60383586471702,0.257758469917107,4.371
1.62289414316754,0.247989740967844,4.413
1.7773146304214,0.140276525222331,4.923
1.74959484785631,0.172713462214796,4.642
1.76840865629318,0.22507049698234,3.377
1.76273110093457,0.230872261489691,4.618
1.80922543546739,0.229996364862985,4.751
1.95548103895537,0.155779922811977,4.48
1.95106504266122,0.144677395795048,2.838
1.96260698354448,0.209554024956734,4.676
2.16645688085381,0.160317996858786,3.684
2.34959261736306,0.206955678773731,4.268
2.53574772373638,0.172653336843795,3.562
2.61892516491094,0.140398205912588,4.859
2.65248380948023,0.174489410301456,4.532
2.76115971114203,0.162430567820009,3.806
2.9841829306286,0.183775030193905,4.056
3.07738196562525,0.144131390307979,4.864
3.16432119626897,0.152419115059007,4.212
3.32434723637035,0.178645380462324,4.877
3.41288942015967,0.191273226808926,2.917
3.84690569677429,0.142449632405061,4.973
3.84473740198791,0.239604854260957,4.464
3.84473740198791,0.239604854260957,4.554
4.07884511679677,0.183938358803438,4.171
4.29968805614644,0.244926813968833,4.565
4.44041557008416,0.163625157902938,3.31
4.42444395563408,0.177419021721817,4.347
4.47405629661551,0.222369343925077,4.889
4.51450156483062,0.251159295715913,3.48
4.74426740904946,0.152434751289243,4.745
4.74446069012695,0.166917413660745,3.722
4.99779450744042,0.241963316631979,2.958
5.21089007789534,0.147680239485493,4.824
5.17603423760533,0.185236387046217,2.861
5.3809057113815,0.197280334713294,4.002
5.39005207511813,0.256113297605968,4.66
5.39982588088112,0.254732727855941,3.677
5.54291125243328,0.176829358743372,4.703
5.56096906714132,0.174654763143856,4.544
5.69058357719968,0.172351423681132,2.533
5.85347616072529,0.213020684659909,4.789
6.00056347241944,0.153870905412623,4.902
5.96332329856837,0.21245698118516,4.251
5.94049553235042,0.189043398694434,3.378
6.05194816139689,0.164226624019515,4.715
6.14859845478779,0.222713684820125,4.638
0.0577522323305588,0.265004103252197,2.769
0.0637164499902901,0.352673420829997,4.983
0.399172087619087,0.267835223124874,3.712
0.311775423806238,0.367123942265192,4.771
0.495366048445496,0.336781995183329,4.584
0.495365772159876,0.336745178509956,4.517
0.500207853589916,0.363173041310117,2.651
0.836141199354157,0.344295441438157,4.452
0.850418762500204,0.367294895869161,4.867
1.06768456332865,0.385402323306519,4.463
1.13356254600167,0.272753852601512,3.75
1.18054304112497,0.282638890641193,4.785
