index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3071028.80467142,42343410.2061874,-3805.3994455523,12.6081178791196,37105751.976949,1,0.000117046543161202,1.58595731381788,478,255,2022,12,1,17,0,7.3
11158,3948003.09241326,32432269.0667594,-4380.66551120113,13.2115662545236,27192164.492921,1,0.00013856322242281,1.55923259014072,86,254,2022,12,1,17,0,7.3
14318,4225331.7731634,42001515.5294163,-5500.11102215584,12.6935029838962,36764355.6181618,1,7.20368512255616e-05,1.55469947845592,19,255,2022,12,1,17,0,7.3
15139,3155208.41431985,41654626.0669356,-4319.13950445167,13.2087272275642,36415845.381477,1,0.000105156420190866,1.58393270782805,448,255,2022,12,1,17,0,7.3
22839,3079033.94034371,42013167.0467562,-2344.65387716795,13.0085805283726,36775425.7357631,1,0.000157818583109287,1.5858758029935,477,255,2022,12,1,17,0,7.3
28786,3884404.07239369,41979193.8305615,-7081.94397634885,11.59528724971,36738127.2934116,1,2.90312963210482e-05,1.5639685713838,155,256,2022,12,1,17,0,7.3
30580,3137336.50070082,45900986.8295231,-5645.85097143429,14.7038017558879,40662092.0768875,1,6.15474595194947e-05,1.58300039370736,434,256,2022,12,1,17,0,7.3
32483,3463616.98429401,19832726.9042504,-1954.23189803945,17.5745180620213,14591795.0710141,1,0.000424503475671572,1.5824435536634,426,251,2022,12,1,17,0,7.3
38187,3702267.2376969,39551158.6181426,438686.324064475,17.9795901171988,34312214.1199843,1,0.013022985126532,1.56879394841522,227,65,2022,12,1,17,0,7.3
40141,3553607.9234684,42012399.4355106,-14776.6722695552,11.7060736634188,36770564.0874906,1,-0.00018025757923497,1.57297087094047,287,259,2022,12,1,17,0,7.3
43463,4150334.63072064,41954502.5729371,-2615.8904019211,11.793945594287,36716216.9459554,1,0.00015068570553155,1.55672122133384,49,254,2022,12,1,17,0,7.3
