index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3074632.5915059,42343147.3311781,-4493.50250983204,12.6081183165388,37105759.4513402,1,9.85291600705428e-05,1.58587254047347,477,256,2022,12,1,17,0,6.1
11158,3952208.85922446,32430514.3988426,-5249.56112862054,13.2114550025307,27190771.3819894,1,0.000106651652230606,1.55909418112128,84,255,2022,12,1,17,0,6.1
14318,4228905.32320357,42001154.2397567,-6328.30303847632,12.6935033921963,36764362.5307506,1,4.95370694155791e-05,1.55461474525223,18,255,2022,12,1,17,0,6.1
15139,3158854.19233454,41654352.8170689,-4949.22004428274,13.2087274026998,36415848.3183552,1,8.78815659680883e-05,1.58384517975212,447,256,2022,12,1,17,0,6.1
22839,3082596.72655746,42012909.9882627,-3278.29178384549,13.0085813610263,36775439.8370729,1,0.000132458240293433,1.58579138060497,475,255,2022,12,1,17,0,6.1
28786,3888078.61384507,41978854.4027899,-7088.49607743848,11.5952872879996,36738127.9412089,1,2.88802342036507e-05,1.56388103476496,154,256,2022,12,1,17,0,6.1
30580,3139031.95385929,45897914.0953973,-6062.59348839339,14.7036538418839,40659322.4265135,1,5.13266873232213e-05,1.58297080489138,434,256,2022,12,1,17,0,6.1
32483,3469668.63069402,19832813.7141926,-2992.63544669985,17.5745687120752,14592135.3599713,1,0.000353400400274853,1.58205997028223,421,252,2022,12,1,17,0,6.1
38187,3705317.40038975,39551454.8445923,438717.059210419,17.9796293437861,34312833.9704224,1,0.0130236748818189,1.56871845287696,225,65,2022,12,1,17,0,6.1
40141,3557284.63373463,42012088.5373078,-14783.6543236975,11.7060736766161,36770564.3109639,1,-0.000180420199351536,1.57288335428911,286,259,2022,12,1,17,0,6.1
43463,4154006.86775256,41954139.8809505,-2622.75188487051,11.7939456332855,36716217.6053538,1,0.000150526124772486,1.55663368871585,48,254,2022,12,1,17,0,6.1
