index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3090849.34646475,42341960.4631132,-7589.96580751319,12.608120286271,37105793.1091147,1,1.52010212459092e-05,1.58549106065612,471,257,2022,12,1,17,0,0.7
11158,3971134.00373819,32422611.7868789,-9159.59013266417,13.2109543519956,27184503.0585298,1,-3.69908684311427e-05,1.55847117931933,75,257,2022,12,1,17,0,0.7
14318,4244985.89867276,41999524.4703319,-10055.1664231834,12.693505231143,36764393.6644425,1,-5.17118461001593e-05,1.55423344619919,13,257,2022,12,1,17,0,0.7
15139,3175259.88519381,41653119.1339817,-7784.58191968311,13.2087281922852,36415861.5590487,1,1.0144750704679e-05,1.58345130386037,441,257,2022,12,1,17,0,0.7
22839,3098628.97122706,42011749.2331473,-7479.66194902956,13.0085851103609,36775503.3335654,1,1.83369293896834e-05,1.58541148068966,470,257,2022,12,1,17,0,0.7
28786,3904613.68139649,41977322.9984356,-7117.97985965778,11.5952874603556,36738130.8571938,1,2.82004520424887e-05,1.56348712002211,148,256,2022,12,1,17,0,0.7
30580,3146661.26387599,45884083.4431495,-7937.93433414265,14.7029879780764,40646856.6398776,1,5.31596882539275e-06,1.58283760333173,432,257,2022,12,1,17,0,0.7
32483,3496898.01457528,19833187.1023214,-7665.44778891465,17.5747982215127,14593677.4055405,1,3.34777831857895e-05,1.58033426364815,395,256,2022,12,1,17,0,0.7
38187,3719042.71234121,39552783.3830605,438855.317663703,17.9798057556479,34315621.732708,1,0.0130267775952985,1.56837875863446,220,65,2022,12,1,17,0,0.7
40141,3573829.49240405,42010685.5139636,-14815.0721655261,11.7060737360285,36770565.3170083,1,-0.000181151972716263,1.57248952937226,280,259,2022,12,1,17,0,0.7
43463,4170531.5402289,41952503.7901901,-2653.62830877143,11.7939458088257,36716220.5734403,1,0.000149807997195401,1.55623979197708,42,254,2022,12,1,17,0,0.7
