index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3076434.47627619,42343015.7745658,-4837.55402966147,12.6081185352892,37105763.1892332,1,8.92704710356871e-05,1.58583015380833,476,256,2022,12,1,17,0,5.5
11158,3954311.71824,32429636.8647079,-5684.0089058752,13.2113993760307,27190074.8469821,1,9.06946411397086e-05,1.55902497172706,83,255,2022,12,1,17,0,5.5
14318,4230692.08612481,42000973.474745,-6742.39902892452,12.6935035963947,36764365.9878646,1,3.82871815384328e-05,1.55457237866144,18,255,2022,12,1,17,0,5.5
15139,3160677.0720166,41654216.069144,-5264.26029989063,13.2087274903123,36415849.7875441,1,7.92441396608582e-05,1.58380141572781,446,256,2022,12,1,17,0,5.5
22839,3084378.11079038,42012781.3380484,-3745.11072820221,13.0085817774256,36775446.8889582,1,0.000119778075816025,1.585749169436,475,255,2022,12,1,17,0,5.5
28786,3889915.87340364,41978684.5683154,-7091.77210762405,11.595287307146,36738128.2651347,1,2.88047030645801e-05,1.56383726645681,153,256,2022,12,1,17,0,5.5
30580,3139879.67349998,45896377.6268761,-6270.96473354704,14.7035798772847,40657937.5298265,1,4.62157788758169e-05,1.58295600891157,434,256,2022,12,1,17,0,5.5
32483,3472694.36242202,19832856.5961219,-3511.83714761153,17.5745940851269,14592305.8301599,1,0.000317850103182699,1.58186819126103,418,252,2022,12,1,17,0,5.5
38187,3706842.46901709,39551602.8220362,438732.425277278,17.9796489538134,34313143.8482273,1,0.0130240197235388,1.5686807061894,225,65,2022,12,1,17,0,5.5
40141,3559122.97865368,42011932.9675557,-14787.1453083162,11.7060736832155,36770564.4227131,1,-0.000180501508890455,1.57283959596386,285,259,2022,12,1,17,0,5.5
43463,4155842.97433812,41953958.4144462,-2626.18261881476,11.7939456527862,36716217.935077,1,0.000150446333963205,1.55658992240813,47,254,2022,12,1,17,0,5.5
