index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3079437.60473794,42342796.3370901,-5410.97320889106,12.6081188999336,37105769.4200882,1,7.3839326422456e-05,1.58575950937689,475,256,2022,12,1,17,0,4.5
11158,3957816.44709931,32428174.0112456,-6408.08848183359,13.2113066644528,27188913.985628,1,6.4097806445987e-05,1.55890961549971,81,255,2022,12,1,17,0,4.5
14318,4233670.0063909,42000672.0216795,-7432.5589840362,12.6935039367971,36764371.7509354,1,1.95373729665006e-05,1.55450176769313,17,256,2022,12,1,17,0,4.5
15139,3163715.19099253,41653987.9737268,-5789.32736925053,13.2087276363994,36415852.2373031,1,6.48484303973855e-05,1.58372847570751,445,256,2022,12,1,17,0,4.5
22839,3087347.07135345,42012566.7418143,-4523.14228570896,13.008582471532,36775458.6439231,1,9.86444787015988e-05,1.58567881752514,474,256,2022,12,1,17,0,4.5
28786,3892977.95611188,41978401.3322093,-7097.2321277498,11.595287339059,36738128.8050514,1,2.8678817714237e-05,1.56376431927844,152,256,2022,12,1,17,0,4.5
30580,3141292.52928253,45893816.6956844,-6618.25012131153,14.7034565916954,40655629.2627438,1,3.76968241203315e-05,1.58293134661611,433,256,2022,12,1,17,0,4.5
32483,3477737.11295513,19832927.2912259,-4377.17317549215,17.5746364446778,14592590.4295913,1,0.000258601453357011,1.58154857834137,413,253,2022,12,1,17,0,4.5
38187,3709384.23120811,39551849.249958,438758.033157386,17.9796816323536,34313660.2409919,1,0.013024594406523,1.5686177966455,224,65,2022,12,1,17,0,4.5
40141,3562186.87170801,42011673.505895,-14792.9635530986,11.7060736942156,36770564.6089804,1,-0.000180637024018678,1.57276666542243,284,259,2022,12,1,17,0,4.5
43463,4158903.13429385,41953655.7917384,-2631.9004975429,11.7939456852894,36716218.4846514,1,0.000150313348644942,1.55651697856384,46,254,2022,12,1,17,0,4.5
