index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3077635.72958481,42342928.0260437,-5066.92170454201,12.6081186811379,37105765.6814203,1,8.30980126206379e-05,1.58580189603419,476,256,2022,12,1,17,0,5.1
11158,3955713.61521047,32429051.7678094,-5973.64074450683,13.2113622915112,27189610.4978909,1,8.00561796894274e-05,1.5589788303217,82,255,2022,12,1,17,0,5.1
14318,4231883.25692227,42000852.9202257,-7018.463015461,12.6935037325449,36764368.2929108,1,3.07872574223593e-05,1.55454413427166,17,256,2022,12,1,17,0,5.1
15139,3161892.3216818,41654124.8583084,-5474.28713125334,13.2087275487372,36415850.7672811,1,7.34858557649303e-05,1.58377223971666,446,256,2022,12,1,17,0,5.1
22839,3085565.69698998,42012695.5264362,-4056.3233538256,13.0085820550521,36775451.5906708,1,0.000111324635414014,1.58572102866604,474,255,2022,12,1,17,0,5.1
28786,3891140.70897102,41978571.3006702,-7093.95612020309,11.5952873199108,36738128.4810954,1,2.8754348942204e-05,1.56380808758518,153,256,2022,12,1,17,0,5.1
30580,3140444.81735609,45895353.2769487,-6409.87889183045,14.7035305647377,40657014.2388847,1,4.28083130837236e-05,1.58294614434277,434,256,2022,12,1,17,0,5.1
32483,3474711.4829962,19832884.9903749,-3857.97158149865,17.5746110182784,14592419.5975693,1,0.000294150366057311,1.58174034327513,416,253,2022,12,1,17,0,5.1
38187,3707859.17672233,39551701.4233773,438742.668764022,17.9796620259553,34313350.4158697,1,0.0130242496047146,1.56865554213156,225,65,2022,12,1,17,0,5.1
40141,3560348.53814766,42011829.2097025,-14789.4726156677,11.7060736876154,36770564.4972173,1,-0.000180555715057263,1.57281042374719,285,259,2022,12,1,17,0,5.1
43463,4157067.04097409,41953837.392143,-2628.46977198409,11.7939456657872,36716218.1549014,1,0.000150393139931296,1.55656074487013,47,254,2022,12,1,17,0,5.1
