index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3069827.53727279,42343497.7606078,-3576.0317508605,12.6081177333374,37105749.4858986,1,0.000123219005660862,1.58598557160355,478,255,2022,12,1,17,0,7.7
11158,3946601.15569986,32432853.8374463,-4091.03362202681,13.2116033382224,27192628.8753501,1,0.000149199685946787,1.55927872358622,87,254,2022,12,1,17,0,7.7
14318,4224140.58265072,42001635.8880836,-5224.04700708448,12.6935028478248,36764353.3144511,1,7.95367802673525e-05,1.55472772286371,20,255,2022,12,1,17,0,7.7
15139,3153993.14945945,41654717.0773403,-4109.1126500392,13.2087271692121,36415844.402962,1,0.000110914705390107,1.58396188386145,449,255,2022,12,1,17,0,7.7
22839,3077846.33968415,42013252.6612359,-2033.44123724722,13.0085802508644,36775421.0360557,1,0.000166272034796746,1.58590394380468,477,255,2022,12,1,17,0,7.7
28786,3883179.21862948,41979306.9016917,-7079.75993059434,11.5952872369478,36738127.0774952,1,2.90816503124074e-05,1.5639977502575,156,256,2022,12,1,17,0,7.7
30580,3136771.34553809,45902011.0141129,-5506.93679154832,14.7038510560544,40663015.2513122,1,6.49540740948354e-05,1.5830102557147,435,256,2022,12,1,17,0,7.7
32483,3461599.71467395,19832697.6576213,-1608.09734822734,17.5745012071341,14591681.8344011,1,0.000448205233653621,1.58257142229418,428,250,2022,12,1,17,0,7.7
38187,3701250.50926559,39551059.7955282,438676.07812333,17.9795770397341,34312007.4750744,1,0.0130227551868137,1.56881911423568,227,65,2022,12,1,17,0,7.7
40141,3552382.34733066,42012502.9967479,-14774.3448930246,11.7060736590202,36770564.0130069,1,-0.000180203372221833,1.57300004315785,288,259,2022,12,1,17,0,7.7
43463,4149110.54464395,41954623.3988515,-2613.60323648262,11.7939455812884,36716216.7261702,1,0.000150738898863083,1.55675039887392,49,254,2022,12,1,17,0,7.7
