index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3091449.95801767,42341916.38152,-7704.64961411359,12.6081203592663,37105794.3564221,1,1.21147966552148e-05,1.58547693178127,471,257,2022,12,1,17,0,0.5
11158,3971834.90962704,32422318.8899172,-9304.40597113766,13.2109358088648,27184270.9196636,1,-4.23122329607155e-05,1.55844810011115,74,257,2022,12,1,17,0,0.5
14318,4245581.46296086,41999463.9838718,-10193.1983741051,12.6935052993023,36764394.8183918,1,-5.54618025881266e-05,1.55421932402341,12,257,2022,12,1,17,0,0.5
15139,3175867.49374127,41653073.3144714,-7889.59530142811,13.2087282215754,36415862.0502222,1,7.26561039994558e-06,1.58343671587849,441,257,2022,12,1,17,0,0.5
22839,3099222.7488298,42011706.1167719,-7635.26823314757,13.0085852493003,36775505.6865629,1,1.41102215902393e-05,1.58539741034853,470,257,2022,12,1,17,0,0.5
28786,3905226.07968979,41977266.1547042,-7119.0718304156,11.5952874667409,36738130.9652214,1,2.81752748435163e-05,1.56347253058851,148,256,2022,12,1,17,0,0.5
30580,3146943.82370109,45883571.0915115,-8007.39138558912,14.7029633085692,40646394.8698937,1,3.61132598209307e-06,1.58283266830927,432,257,2022,12,1,17,0,0.5
32483,3497906.4149332,19833200.389384,-7838.51474515469,17.5748067716185,14593734.855872,1,2.16301053464582e-05,1.58027036176356,394,256,2022,12,1,17,0,0.5
38187,3719551.04400497,39552832.4473956,438860.436785131,17.9798122860338,34315724.9339914,1,0.0130268924733711,1.56836617848691,220,65,2022,12,1,17,0,0.5
40141,3574442.25431972,42010633.4250199,-14816.2357452058,11.7060737382297,36770565.3542823,1,-0.000181179074893311,1.57247494326468,280,259,2022,12,1,17,0,0.5
43463,4171143.55272791,41952443.069265,-2654.77187215182,11.7939458153286,36716220.6833943,1,0.000149781399433602,1.5562252032103,42,254,2022,12,1,17,0,0.5
