index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3063821.16192122,42343935.0033371,-2429.19323652704,12.6081170046075,37105737.033747,1,0.000154081328954057,1.58612686056346,480,255,2022,12,1,17,0,9.7
11158,3939591.3639382,32435776.8012932,-2642.87407476552,13.2117887544705,27194950.8783248,1,0.00020237655421077,1.55950936910907,90,253,2022,12,1,17,0,9.7
14318,4218184.57638788,42002237.1472712,-3843.72686995801,12.6935021676831,36764341.7995413,1,0.000117036438492764,1.55486894495201,22,254,2022,12,1,17,0,9.7
15139,3147916.78378897,41655171.5827281,-3058.97832774112,13.2087268776506,36415839.5137198,1,0.00013970613460046,1.58410776408929,451,255,2022,12,1,17,0,9.7
22839,3071908.2970201,42013680.1959956,-477.378016987872,13.0085788636457,36775397.5429882,1,0.000208539323538735,1.58604464797322,479,254,2022,12,1,17,0,9.7
28786,3877054.90025227,41979871.7213864,-7068.83961147085,11.5952871731437,36738125.9980344,1,2.93334199089371e-05,1.56414364463165,158,256,2022,12,1,17,0,9.7
30580,3133945.53892273,45907131.4862276,-4812.36583948049,14.7040975231352,40667630.8057322,1,8.19848264106084e-05,1.58305955876832,435,256,2022,12,1,17,0,9.7
32483,3451512.96106446,19832549.0992326,122.57553109093,17.5744171462422,14591117.0994502,1,0.000566719491403267,1.58321082167638,438,249,2022,12,1,17,0,9.7
38187,3696166.81065086,39550565.0789495,438624.841724055,17.9795116378927,34310974.0397988,1,0.0130216053285355,1.568944948147,229,65,2022,12,1,17,0,9.7
40141,3546254.42132191,42013020.2667029,-14762.7078218383,11.7060736370302,36770563.6406444,1,-0.000179932334851175,1.57314590424665,290,259,2022,12,1,17,0,9.7
43463,4142990.06131209,41955226.9928112,-2602.16737596291,11.7939455163014,36716215.6273512,1,0.000151004863607505,1.55689628658002,52,254,2022,12,1,17,0,9.7
