index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3075833.84866027,42343059.6355927,-4722.8701906928,12.6081184623694,37105761.9432172,1,9.23567005263703e-05,1.58584428269619,476,256,2022,12,1,17,0,5.7
11158,3953610.76704243,32429929.3909144,-5539.19298262916,13.2114179182347,27190307.0238019,1,9.60137356488858e-05,1.55904804188696,83,255,2022,12,1,17,0,5.7
14318,4230096.49938094,42001033.7386512,-6604.36703349828,12.693503528325,36764364.8354326,1,4.20371439378393e-05,1.55458650085755,18,255,2022,12,1,17,0,5.7
15139,3160069.44614702,41654261.6608961,-5159.24688247425,13.2087274611048,36415849.2977589,1,8.21232817020901e-05,1.5838160037349,446,256,2022,12,1,17,0,5.7
22839,3083784.31670375,42012824.2304137,-3589.50441417303,13.0085816386205,36775444.5382386,1,0.000124004796792766,1.58576323982378,475,255,2022,12,1,17,0,5.7
28786,3889303.45437834,41978741.1887394,-7090.68009907094,11.5952873007637,36738128.1571574,1,2.88298801168744e-05,1.56385185589276,154,256,2022,12,1,17,0,5.7
30580,3139597.10080054,45896889.7905657,-6201.50765284426,14.7036045327139,40658399.1673521,1,4.79194537221053e-05,1.58296094102128,434,256,2022,12,1,17,0,5.7
32483,3471685.79195981,19832842.3408865,-3338.76992031351,17.5745856238861,14592248.9826394,1,0.000329700110105436,1.58193211666259,419,252,2022,12,1,17,0,5.7
38187,3706334.11375048,39551553.5062792,438727.303366557,17.9796424173796,34313040.5591379,1,0.0130239047789597,1.56869328833848,225,65,2022,12,1,17,0,5.7
40141,3558510.19777095,42011984.8330768,-14785.9816499219,11.7060736810157,36770564.3854624,1,-0.000180474405749303,1.57285418207225,286,259,2022,12,1,17,0,5.7
43463,4155230.93969365,41954018.9122077,-2625.03904139176,11.7939456462859,36716217.8251674,1,0.00015047293093145,1.55660451117728,47,254,2022,12,1,17,0,5.7
