index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3072230.06951049,42343322.6164756,-4034.76713707443,12.6081180249139,37105754.468206,1,0.000110874081392865,1.58592905603431,477,255,2022,12,1,17,0,6.9
11158,3949405.02190705,32431684.2367639,-4670.2973923792,13.2115291706753,27191700.1165502,1,0.00012792639562424,1.55918645524809,85,254,2022,12,1,17,0,6.9
14318,4226522.9600938,42001395.1351393,-5776.1750325749,12.6935031199819,36764357.9221152,1,6.45369230654171e-05,1.55467123405141,19,255,2022,12,1,17,0,6.9
15139,3156423.67641987,41654535.0200888,-4529.1663550836,13.2087272859294,36415846.3602142,1,9.93981352175381e-05,1.58390353179869,448,255,2022,12,1,17,0,6.9
22839,3080221.53837642,42013081.396434,-2655.8665150753,13.0085808059024,36775430.4358351,1,0.000149365133458607,1.58584766218983,476,255,2022,12,1,17,0,6.9
28786,3885628.92285172,41979080.7237011,-7084.12801607562,11.5952872624727,36738127.5093359,1,2.89809423057759e-05,1.56393939251047,155,256,2022,12,1,17,0,6.9
30580,3137901.65380894,45899962.6148747,-5784.76514759936,14.7037524534707,40661168.8812801,1,5.81406902081903e-05,1.58299053123438,434,256,2022,12,1,17,0,6.9
32483,3465634.22684691,19832755.9958831,-2300.36643286582,17.5745349311414,14591908.4041515,1,0.000400802083691283,1.58231568878373,424,251,2022,12,1,17,0,6.9
38187,3703283.96236198,39551257.4005245,438696.569559374,17.9796031936957,34312420.7508455,1,0.0130232150556054,1.5687687829153,226,65,2022,12,1,17,0,6.9
40141,3554833.4965823,42012295.8385248,-14778.9996335121,11.7060736678177,36770564.1619779,1,-0.000180311786094326,1.57294169872322,287,259,2022,12,1,17,0,6.9
43463,4151558.713265,41954381.7113153,-2618.1775651332,11.7939456072861,36716217.1657477,1,0.000150632512072579,1.55669204379413,49,254,2022,12,1,17,0,6.9
