index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3082440.7171586,42342576.6790466,-5984.39235993863,12.6081192646535,37105775.6522347,1,5.84081865994783e-05,1.58568886495849,474,256,2022,12,1,17,0,3.5
11158,3961321.13071201,32426710.7870537,-7132.16798462607,13.2112139519455,27187753.162198,1,3.74987015826978e-05,1.55879425022536,79,256,2022,12,1,17,0,3.5
14318,4236647.90422333,42000370.3460579,-8122.71889976692,12.693504277289,36764377.5155236,1,7.87570172820382e-07,1.55443115674522,15,256,2022,12,1,17,0,3.5
15139,3166753.29266954,41653759.6505497,-6314.39440695127,13.2087277825692,36415854.6884505,1,5.04527227623013e-05,1.58365553571245,444,256,2022,12,1,17,0,3.5
22839,3090316.01545476,42012351.9215684,-5301.17381910757,13.0085831657727,36775470.4011663,1,7.75108946146002e-05,1.58560846566102,473,256,2022,12,1,17,0,3.5
28786,3896040.01811087,41978117.8727936,-7102.69211012081,11.595287370975,36738129.3450184,1,2.85529322163054e-05,1.56369137210242,151,256,2022,12,1,17,0,3.5
30580,3142705.37220179,45891255.5765718,-6965.53548183127,14.7033332920321,40653320.8632251,1,2.91769016668561e-05,1.58290668140876,433,256,2022,12,1,17,0,3.5
32483,3482779.69369514,19832997.0179718,-5242.50899139575,17.5746788931242,14592875.6319894,1,0.000199355118768846,1.58122898891457,409,254,2022,12,1,17,0,3.5
38187,3711925.96981771,39552095.4264472,438783.638248286,17.9797143048455,34314176.5459512,1,0.0130251690229925,1.56855488910373,223,65,2022,12,1,17,0,3.5
40141,3565250.74581806,42011413.8208097,-14798.7817192096,11.7060737052171,36770564.795271,1,-0.000180772538183782,1.57269373488179,283,259,2022,12,1,17,0,3.5
43463,4161963.27212705,41953352.9458648,-2637.61836227122,11.7939457177952,36716219.0342703,1,0.000150180362532154,1.5564440347219,45,254,2022,12,1,17,0,3.5
