index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3078236.35527729,42342884.1385486,-5181.6055404132,12.6081187540668,37105766.9275912,1,8.00117836973252e-05,1.5857877671479,475,256,2022,12,1,17,0,4.9
11158,3956414.5609827,32428759.1971171,-6118.45665976729,13.2113437491956,27189378.3256199,1,7.47368127497379e-05,1.55895575907624,82,255,2022,12,1,17,0,4.9
14318,4232478.84097562,42000792.6296126,-7156.49500651264,12.6935038006254,36764369.4455249,1,2.7037295707208e-05,1.554530012078,17,256,2022,12,1,17,0,4.9
15139,3162499.94547709,41654079.2392249,-5579.30054514443,13.2087275779546,36415851.2572329,1,7.06067139117197e-05,1.5837576517126,446,256,2022,12,1,17,0,4.9
22839,3086159.48910275,42012652.6071894,-4211.92966536768,13.0085821938733,36775453.9416637,1,0.000107097915990064,1.58570695828387,474,255,2022,12,1,17,0,4.9
28786,3891753.12551273,41978514.653449,-7095.04812422835,11.5952873262934,36738128.5890787,1,2.87291718721303e-05,1.5637934981495,153,256,2022,12,1,17,0,4.9
30580,3140727.38851267,45894841.0907105,-6479.33596939698,14.7035059076199,40656552.5854683,1,4.11045221342786e-05,1.58294121188368,434,256,2022,12,1,17,0,4.9
32483,3475720.03310458,19832899.1293947,-4031.03878740998,17.5746194901887,14592476.5174565,1,0.000282300636013164,1.58167642069106,415,253,2022,12,1,17,0,4.9
38187,3708367.52916063,39551750.7089616,438747.790340044,17.9796685616633,34313453.6944226,1,0.0130243645413114,1.56864296022278,224,65,2022,12,1,17,0,4.9
40141,3560961.31675868,42011777.3173703,-14790.6362646245,11.7060736898154,36770564.5344707,1,-0.000180582818082918,1.5727958376389,285,259,2022,12,1,17,0,4.9
43463,4157679.07296539,41953776.8676015,-2629.61334772998,11.7939456722878,36716218.2648162,1,0.000150366542867634,1.55654615610127,46,254,2022,12,1,17,0,4.9
