index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3088446.89381411,42342136.7012604,-7131.23056553604,12.6081199943199,37105788.1204017,1,2.75459216375589e-05,1.58554757616071,472,257,2022,12,1,17,0,1.5
11158,3968330.36202025,32423783.2264077,-8580.32673756979,13.2110285241497,27185431.6291947,1,-1.57063182273546e-05,1.55856349253198,76,256,2022,12,1,17,0,1.5
14318,4242603.6325241,41999766.3271524,-9503.03859845988,12.6935049585416,36764389.0492519,1,-3.67120176996195e-05,1.5542899349104,13,257,2022,12,1,17,0,1.5
15139,3172829.44406054,41653302.3209207,-7364.52837591403,13.2087280751573,36415859.5949101,1,2.16613126861117e-05,1.58350965579797,442,257,2022,12,1,17,0,1.5
22839,3096253.85420873,42011921.609046,-6857.23679696718,13.0085845546568,36775493.9224863,1,3.52437659519746e-05,1.58546776207277,471,256,2022,12,1,17,0,1.5
28786,3902164.07991613,41977550.2840395,-7113.6119614828,11.5952874348159,36738130.4251034,1,2.83011607802659e-05,1.56354547775746,149,256,2022,12,1,17,0,1.5
30580,3145531.01941891,45886132.774505,-7660.10611539395,14.7030866504718,40648703.666816,1,1.21341528116687e-05,1.58285734225595,432,257,2022,12,1,17,0,1.5
32483,3492864.34490642,19833133.5669185,-6973.17981842129,17.5747640566164,14593447.8452411,1,8.08694348759497e-05,1.58058988060845,399,256,2022,12,1,17,0,1.5
38187,3717009.37623146,39552587.0251584,438834.84006222,17.9797796316853,34315208.8924516,1,0.0130263180564108,1.56842908002487,221,65,2022,12,1,17,0,1.5
40141,3571378.4371402,42010893.7803707,-14810.4178152942,11.7060737272241,36770565.1679219,1,-0.000181043563621827,1.57254787380291,281,259,2022,12,1,17,0,1.5
43463,4168083.48136032,41952746.5846265,-2649.05404960603,11.7939457828149,36716220.1336417,1,0.00014991438792577,1.55629814704513,43,254,2022,12,1,17,0,1.5
