index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3064421.80233119,42343891.3187673,-2543.87709063174,12.6081170774669,37105738.2787296,1,0.000150995095825458,1.5861127316651,480,255,2022,12,1,17,0,9.5
11158,3940292.35122313,32435484.5716251,-2787.69003600635,13.2117702130144,27194718.6712179,1,0.000197059276099876,1.55948630618452,90,253,2022,12,1,17,0,9.5
14318,4218780.18103953,42002177.0614138,-3981.75888781727,12.6935022356811,36764342.950759,1,0.000113286471706632,1.55485482273948,22,254,2022,12,1,17,0,9.5
15139,3148524.42345647,41655126.1731871,-3163.9917633609,13.2087269067918,36415840.002394,1,0.000136826991448544,1.58409317606194,451,255,2022,12,1,17,0,9.5
22839,3072502.10423694,42013637.4828427,-632.984340027665,13.0085790023434,36775399.8918847,1,0.000204312592405496,1.58603057754791,479,254,2022,12,1,17,0,9.5
28786,3877667.33580457,41979815.2796139,-7069.93165015571,11.5952871795236,36738126.1059714,1,2.93082429763928e-05,1.56412905519381,158,256,2022,12,1,17,0,9.5
30580,3134228.12189338,45906619.4728261,-4881.82293845219,14.7040728789581,40667169.2741158,1,8.0281925192803e-05,1.58305462898661,435,256,2022,12,1,17,0,9.5
32483,3452521.66680922,19832564.1294822,-50.4917610340229,17.5744255363128,14591173.464322,1,0.000554867656848449,1.58314687752331,437,249,2022,12,1,17,0,9.5
38187,3696675.18474469,39550614.5958713,438629.965865991,17.9795181791657,34311077.3991308,1,0.0130217203263406,1.56893236439513,229,65,2022,12,1,17,0,9.5
40141,3546867.21731967,42012968.5799249,-14763.8715430929,11.7060736392289,36770563.6778764,1,-0.00017995943876102,1.57313131813763,290,259,2022,12,1,17,0,9.5
43463,4143602.11361428,41955166.6735864,-2603.31096451046,11.7939455227997,36716215.737225,1,0.000150978267276649,1.55688169780899,51,254,2022,12,1,17,0,9.5
