index,XGcrsMeters,YGcrsMeters,ZGcrsMeters,magnitude,distance,shadowFactor,declination,rightAscension,matrixX,matrixY,year,month,day,hour,minute,second
10855,3073431.33178897,42343234.9914725,-4264.13482522895,12.6081181707203,37105756.9596698,1,0.00010470162036104,1.58590079825284,477,255,2022,12,1,17,0,6.5
11158,3950806.94417839,32431099.3474587,-4959.9292650267,13.2114920866776,27191235.7462392,1,0.000117289205557999,1.5591403189083,85,254,2022,12,1,17,0,6.5
14318,4227714.14344085,42001274.7052528,-6052.23903809039,12.6935032560819,36764360.2263115,1,5.70369957934677e-05,1.55464298965018,19,255,2022,12,1,17,0,6.5
15139,3157638.93575845,41654443.9367999,-4739.193201755,13.208727344308,36415847.3391736,1,9.3639850474967e-05,1.58387435577338,447,256,2022,12,1,17,0,6.5
22839,3081409.13378136,42012995.7102695,-2967.07915072764,13.0085810834536,36775435.1362717,1,0.000140911685850909,1.58581952139365,476,255,2022,12,1,17,0,6.5
28786,3886853.77000255,41978967.5811105,-7086.31204977281,11.5952872752359,36738127.7252684,1,2.89305882666283e-05,1.56391021363753,155,256,2022,12,1,17,0,6.5
30580,3138466.80486193,45898938.3701665,-5923.679319948,14.7037031488028,40660245.6644892,1,5.47337661473578e-05,1.58298066829574,434,256,2022,12,1,17,0,6.5
32483,3467651.44231829,19832784.9325276,-2646.50094998033,17.5745518144932,14592021.8338063,1,0.000377101058348223,1.58218782765632,423,251,2022,12,1,17,0,6.5
38187,3704300.68325995,39551356.1426742,438706.814608023,17.9796162692248,34312627.3676583,1,0.0130234449740342,1.56874361773589,226,65,2022,12,1,17,0,6.5
40141,3556059.06667141,42012192.2057905,-14781.3269848936,11.7060736722168,36770564.2364691,1,-0.000180365992799864,1.5729125265061,287,259,2022,12,1,17,0,6.5
43463,4152782.79227596,41954260.8139865,-2620.46472611694,11.7939456202856,36716217.3855472,1,0.00015057931848621,1.5566628662548,48,254,2022,12,1,17,0,6.5
