Sector,IndexInSector,IndexInGroup,Declination,RightAscension,matrixX,matrixY
4769,1393,1,-0.0116304241903792,1.56424934901227,159,427
4769,1437,1,-0.0120932585763727,1.5608881250383,110,434
4769,1441,1,-0.0164101823416201,1.56498511423827,170,497
4769,1475,1,-0.0145075919457508,1.57077131454613,255,469
4769,1483,1,-0.0164094032950152,1.5614236059663,118,497
4782,1778,1,-0.00885775718812256,1.57127684394645,262,386
4782,67,1,-0.0147054417840845,1.58160211412782,414,473
4782,94,1,-0.00103910554236262,1.57568829989823,327,272
4782,98,1,-5.69058609532678e-05,1.57597167554928,331,258
4782,146,1,-0.004565867705526,1.57350655198258,295,324
4782,166,1,-0.000262663384603318,1.58722033902986,496,261
4782,183,1,-0.0139328622726194,1.57194769294041,272,461
4782,214,1,-0.00577543666873351,1.57209554140102,274,341
4782,230,1,-0.00126848136830081,1.57353830524958,296,275
4782,248,1,-0.00490765053764968,1.58304635752467,435,329
4782,273,1,-0.0162467530139934,1.57975189053929,386,495
4782,302,1,-0.003445603113224,1.57749111203038,354,307
4782,324,1,-0.0035339257344849,1.570870111223,256,308
4782,333,1,-0.0119358589123157,1.57261034240933,282,432
4782,335,1,-0.0129355418393391,1.58545961881038,470,447
4782,345,1,-0.0163900500286291,1.58300192381067,434,497
4782,382,1,-7.40620982983355e-05,1.57948545991332,383,258
4782,400,1,-0.0014436607507235,1.58073584530252,401,278
4782,425,1,-0.0157400617537263,1.58247223729588,426,488
4782,426,1,-0.000354854148634919,1.5712670833775,262,262
4782,442,1,-0.00814219778139295,1.58229377116395,424,376
4782,466,1,-0.00115491526902755,1.57325292111304,291,274
4782,496,1,-0.00609607782409674,1.58122631520396,408,346
4782,497,1,-0.0121817824267603,1.5771695468314,349,435
4782,504,1,-0.000334197461921064,1.58572778561578,474,262
4782,512,1,-0.00554868004068499,1.58180639755013,417,338
4782,546,1,-0.000447422561917391,1.57384139913456,300,263
4782,552,1,-0.00085756616007795,1.58180843501562,417,269
4782,569,1,-0.0110588877161588,1.57579379659962,328,419
4782,571,1,-0.0129195502930034,1.58291435662067,433,446
4782,589,1,-0.0161110483110142,1.57818089836702,363,493
4782,594,1,-0.00875796809748243,1.57136548309099,264,385
4782,608,1,-0.00160431275225153,1.58378414911335,446,280
4782,616,1,-0.00823188054645469,1.58253730628082,427,378
4782,620,1,-0.00576086476616452,1.58751487054621,501,342
4782,642,1,-0.00631211413953139,1.5856047618526,472,350
4782,643,1,-0.0161564097482418,1.58028049044249,394,494
4782,672,1,-0.00704378986260041,1.57288055892688,286,360
4782,696,1,-0.00381560229305701,1.57864005425934,370,313
4782,725,1,-0.0131014861025387,1.5865289026548,486,449
4782,756,1,-0.00951919129323093,1.57533688670085,322,396
4782,772,1,-0.00858500147698266,1.58061934586505,399,383
4782,853,1,-0.0128203959387491,1.5849142500369,462,445
4782,869,1,-0.0135967220581382,1.58612203732222,480,456
4782,895,1,-0.0161928723059352,1.57834828174621,366,494
4782,904,1,-0.00952179463133031,1.57579926998497,329,396
4782,926,1,-0.00773475609726928,1.57656175972826,340,370
4782,940,1,-0.00558467049304535,1.5710669476061,259,338
4782,1012,1,-0.0105029132098445,1.58495176998895,463,411
4782,1159,1,-0.0166564527632998,1.57598476776653,331,501
4782,1204,1,-0.0109386277623798,1.5723491782432,278,417
4782,1269,1,-0.0111747492186101,1.57252730260156,281,420
4782,1314,1,-0.0147980617100433,1.57697721897062,346,474
4782,1316,1,-0.0171042815957913,1.58737440249734,498,508
4782,1322,1,-0.015014785334197,1.582459396035,426,477
4782,1393,1,-0.0169328951656734,1.57184029633305,270,505
4782,1780,1,-0.010428696688664,1.57590710220067,330,410
117,1543,2,0.000485519454364722,1.55953958252408,90,249
117,515,1,0.0027831847445603,1.55457029532536,18,215
117,517,1,0.00077160615849843,1.55843085927927,74,245
117,521,1,0.00313464096523947,1.56982663903552,241,210
117,523,1,0.0113868400144999,1.55439068574292,15,89
117,543,1,0.0154297770805499,1.5536209501464,4,30
117,627,1,0.0103558361517021,1.57065811853475,254,105
117,663,1,0.00378259429433461,1.55506429038013,25,201
117,667,1,0.0137464918000038,1.56821034769082,218,55
117,673,1,0.0049704890502402,1.56318759971787,144,183
117,717,1,0.00747171514894546,1.55779919396416,65,146
117,727,1,0.00399475963876178,1.56041875431703,103,198
117,735,1,0.00748236823981338,1.56281433160215,139,146
117,759,1,0.0038783150152885,1.55969479620418,93,199
117,765,1,0.0146678414037505,1.56233916435576,132,41
117,778,1,0.0171714103098245,1.57015324156352,247,5
117,807,1,0.00383060013997894,1.56321512645863,144,200
117,835,1,0.00538383126833453,1.56274438548002,138,177
117,841,1,0.00907435564047586,1.56820584669694,218,123
117,859,1,0.00453280252451349,1.55598584271073,38,190
117,869,1,0.000973085455649132,1.5701866635627,247,242
117,895,1,0.000347094284399997,1.55825863590707,72,251
117,913,1,0.00194090285322785,1.56425824324121,160,228
117,921,1,0.0134721462022878,1.55533536251598,29,58
117,923,1,0.0128212502998346,1.56024392714085,101,68
117,945,1,0.0147295477158596,1.56453653623008,164,40
117,999,1,0.00462211744046556,1.5547254017631,20,188
117,1003,1,0.0048346709502715,1.55885379028663,80,185
117,1015,1,0.0155804659230464,1.5606999597406,108,28
117,1021,1,0.0140568366546485,1.56475690801799,167,50
117,1032,1,0.0088768205879831,1.56821970639545,218,126
117,1035,1,0.0118459227694459,1.56536613830709,176,83
117,1043,1,0.00151573977893052,1.55372005060968,5,234
117,1044,1,0.00151966326012765,1.56389049160666,154,234
117,1050,1,0.00997808436937151,1.56179458428787,124,110
117,1059,1,0.0124518346040637,1.57063392321476,254,74
117,1064,1,0.0012571508863677,1.56477572138676,167,238
117,1233,1,0.00697439381043343,1.55971289455265,93,154
117,1377,1,0.00671123536934935,1.55964521801677,92,158
117,1471,1,0.00965152516625268,1.5656731859751,181,115
